,label,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
470,0,6004.03,7094.45,8063.23,1435.07,10022.71,4802.21,9113.41,12560.01
471,0,5981.25,7053.77,8359.64,1407.98,9989.12,4841.62,9082.4,12555.68
472,0,6008.52,7101.75,8483.83,1450.93,10012.33,4919.71,9124.5,12563.36
473,0,5890.92,7059.54,8411.5,1398.64,9988.36,4868.39,9112.96,12554.5
474,0,5442.52,6706.63,7831.75,1159.96,9935.54,4901.05,9072.3,12422.02
475,0,5485.37,6714.59,7629.68,1134.2,9806.31,4751.87,9024.95,12415.98
476,0,5341.31,6736.11,7716.48,1200.83,9825.34,4655.77,8996.01,12410.17
477,0,5517.13,6778.35,7764.07,1262.96,9833.84,5034.66,9017.92,12425.97
478,0,5483.35,6780.96,7934.74,1249.58,9836.34,4822.63,9051.49,12418.32
479,0,5377.56,6829.77,7782.52,1211.93,9812.9,5013.84,8998.96,12423.25
480,0,5172.43,6765.74,7775.36,825.71,9729.26,5067.04,8980.08,12291.79
481,0,5099.21,6806.91,7611.94,833.6,9896.17,4967.23,8959.62,12245.98
482,0,5004.73,6707.8,7600.51,607.25,9912.29,4890.97,8795.8,12166.33
483,0,4726.98,6816.79,7553.81,718.6,9909.02,5016.09,8784.64,12145.14
484,0,4728.34,6770.39,7501.78,773.06,10013.24,4857.24,8730.24,12113.25
485,0,4563.27,6803.52,7459.56,483.98,9997.91,5242.45,8645.68,12080.91
486,0,4502.18,6731.04,7489.93,517.8,9808.85,5274.02,8745.1,12138.7
487,0,4533.38,6677.44,7322.3,483.99,9715.18,5078.92,8687.36,12083.27
488,0,4553.62,6608.52,7083.24,557.47,9801.2,5194.87,8660.52,12075.68
489,0,4392.78,6615.52,7166.64,589.2,9725.95,5225.97,8544.81,12046.08
490,0,4354.53,6619.36,6722.25,536.8,9665.32,5022.49,8624.94,12035.43
491,0,4415.89,6604.67,6566.1,516.95,9714.44,5080,8626.72,12033.61
492,0,4683.64,6625.98,6715.65,550.75,9712,5182.42,8659.79,12049.6
493,0,4589.38,6685.42,6710.42,553.72,9754.27,5215.8,8677.47,12076.9
494,0,4591.96,6710.48,6750.21,561.64,9727.41,5212.41,8681.38,12088.66
495,0,4732.41,6739.97,6588.76,565.86,9831.5,5218.41,8666.83,12072.53
496,0,4686.57,6730.99,6657.93,587.39,9856.14,5198.94,8647.32,12035.95
497,0,4815.12,6693.35,6646.46,658.12,9786.29,4943.94,8472.43,12021.86
498,0,4681.14,6450.15,6038.53,658.87,9581.31,4942.02,8506.74,11937.82
499,0,6017.6,6595.52,6753.02,534.03,9585.3,5269.59,8780.61,12245.36
500,0,5513.82,6550.67,6613.92,714.43,9658.18,5408.66,8745.43,12080.01
501,0,4915.1,6301.83,6143.18,563.44,9649.54,5313.58,8668.32,11982.83
502,0,6067.58,6306.07,7504.47,25.72,9775.62,4730.12,8916.64,12048.18
503,0,5791.07,6109.81,7152.92,23.02,9675.82,4881.55,8665.42,11802.7
504,0,4539.92,5946.52,6333.66,210.86,9612.58,4944.05,8055.33,11489.89
505,0,4677.69,5944.57,6263.36,538.48,9362.6,4911.21,7949.1,11434.73
506,0,4701.16,5957.41,6439.08,409.11,9477.83,5079.16,7886.44,11506.36
507,0,5088.06,6218.63,6687.19,205.42,9757.08,4978.17,8085.26,11582.22
508,0,5479.09,6465.6,6989.94,195.54,9892.14,5104.36,8171.81,11622.32
509,0,6318.01,6966.22,7703.58,25.82,10028.88,5089.21,8804.81,11891.02
510,0,6610.57,7137.91,7849.18,264.37,10042.07,5320.78,8849.15,12083.71
511,0,6501.34,7149.56,7605.09,366.69,10150.93,5222.38,8841.43,12016.18
512,0,6382.08,7183.15,7901.65,426.06,10162.02,5449.35,8543.09,12244.32
513,0,6714.36,7389.56,8085.05,981.65,10273.37,5718.53,8767.21,12423.87
514,0,6923.81,7915.44,8819.19,1372,10278.78,4919.96,9399.63,12551.45
515,0,6950.69,8183.34,8398.42,1304.85,10341.11,4776.93,9433.97,12381.88
516,0,7062.07,8344.86,8167.1,1480.11,10469.92,4991.17,9046.43,12615.93
517,0,8298.47,8598.03,8471.54,1800.26,10772.52,5344.59,9370.15,13033.33
518,0,8967.47,8526.78,8693.8,1992.41,10822.06,5551.45,9390.97,13163.22
519,0,7908.32,8400.55,8414.78,1827.57,10716.82,5159.34,9228.43,13066.31
520,0,7074.35,8192.62,7927.62,1668.43,10451.59,4725.3,9314.01,12790.02
521,0,7445.81,8010.84,7911.27,1737.64,10455.18,4904.41,9254.93,12934.79
522,0,10863.36,8026.79,8796.14,2548.19,10520.78,5006.05,9500.46,13303.58
523,0,10915.42,8081.89,8601.64,2936.63,10321.86,5197.9,9825.74,13412.59
524,0,9880.42,7920.81,8537.48,2346.14,9857.12,4791.81,9766.03,13341.55
525,0,9136.53,6858.84,7630.91,2215.26,9430.92,3865.7,9465.35,13162.3
526,0,10428.12,5470.63,5982.96,1748.58,9339.02,4750.37,8567.46,12720.3
527,0,11218.08,4581.64,6081.22,1429.79,9741.05,5781.31,7216.62,12475.47
528,0,10000.02,4663.05,5280.04,1120.56,9712.53,5533.78,6168.47,11775.72
529,0,9020.22,5056.65,5270.3,15.99,9642.71,5309.32,5656.33,11491.52
530,0,8987.47,4382.44,4621.52,17.31,9429.13,5396.3,5072.86,11276.92
531,0,8165.13,4917.41,4589.27,17.31,9624.25,5006.03,5091.79,11261.61
532,0,7813.89,5543.18,6641.65,19.27,9990.17,4870.07,6165.78,11512.08
533,0,5714.7,5668.69,6543.2,16.63,9389.56,3952.6,6035.45,11394.73
534,0,7788.68,5811.1,6887.2,16.18,9779.48,4296.41,6375.24,11549.53
535,0,7218.75,6373.35,7240.88,18.37,10062.53,4426.94,6491.75,11565.74
536,0,4999,6386.32,7383.09,17.98,9818.11,4450.34,6619.07,11312.43
537,0,6091.72,6715.66,8336.23,16.46,9962.17,4406.69,7078.68,11514.4
538,0,6312.7,7018.96,8076.46,16.8,10280.93,5006.16,6695.46,11417.43
539,0,6633.91,7090.47,7881.08,18.11,10365.74,5028.88,6469.74,11579.5
540,0,9635.24,6179.24,5919.53,161.15,10179.06,5474.2,6806.26,11662.94
541,0,9949.86,5871.5,4887.8,362.61,9831.03,5137.1,6890.38,11668.97
542,0,9202.69,5507.79,4147.28,272.66,9754.85,5100.98,6710.56,11482.34
543,0,8632.42,5864.48,4135.75,300.08,9680.39,4784.51,6588.83,11492.86
544,0,6974.54,6092.95,4302.9,18.32,9558.6,4658.71,6628.63,11491.98
545,0,7015.52,6138.01,5259.91,16.69,9804.26,5067.34,6226.2,11539.49
546,0,7171.51,6322.3,6661.14,16.3,9995.16,5269.48,6333.14,11739.17
547,0,6577.52,6563.41,7651.35,18.59,10207.67,5629.49,6366.46,11858.16
548,0,6462.81,6895.83,8030.92,14.84,10450.68,5190.15,6405.17,11857.01
